problem_id,problem_part,scaffold_id,problem_type_id
PRA8E6B,1,0.0,5.0
PRA8E6P,1,0.0,5.0
PRA8GAE,1,0.0,5.0
PRA8GAH,1,0.0,5.0
PRA8E6U,1,0.0,5.0
PRA8E3U,1,0.0,5.0
PRA8E4U,1,0.0,5.0
PRA8E4X,1,0.0,5.0
PRA8E4H,1,0.0,5.0
PRA8E38,1,0.0,5.0
PRA8E42,1,0.0,5.0
PRA8E3Y,1,0.0,5.0
PRA8E36,1,0.0,5.0
PRA8F96,1,0.0,5.0
PRA8E43,1,0.0,5.0
PRA8E3W,1,0.0,5.0
PRA8E35,1,0.0,5.0
PRA8E6D,1,0.0,5.0
PRA8E4V,1,0.0,5.0
PRA8GAJ,1,0.0,5.0
PRA8E4D,1,0.0,5.0
PRA8E46,1,0.0,5.0
PRA8E5A,1,0.0,5.0
PRA8E49,1,0.0,5.0
PRA8E6W,1,0.0,5.0
PRA8E4K,1,0.0,5.0
PRA8E6A,1,0.0,5.0
PRA8E6Z,1,0.0,5.0
PRA8F97,1,0.0,5.0
PRA8E6H,1,0.0,5.0
PRA8E4Z,1,0.0,13.0
PRA8E47,1,0.0,5.0
PRA8E37,1,0.0,5.0
PRA8E4S,1,0.0,5.0
PRA8E44,1,0.0,5.0
PRA8E4E,1,0.0,5.0
PRA8F95,1,0.0,5.0
PRA8E3Z,1,0.0,5.0
PRA8E6S,1,0.0,5.0
PRA8E6Y,1,0.0,5.0
PRA8E4R,1,0.0,5.0
PRA8E6G,1,0.0,5.0
PRA8E6F,1,0.0,5.0
PRA8E4C,1,0.0,5.0
PRA8E39,1,0.0,5.0
PRA8E6Q,1,0.0,5.0
PRA8E6C,1,0.0,5.0
PRA8E4B,1,0.0,5.0
PRA8GAB,1,0.0,5.0
PRA8E6V,1,0.0,5.0
PRA8E4G,1,0.0,5.0
PRA8E4M,1,0.0,5.0
PRA8E4F,1,0.0,5.0
PRA8E32,1,0.0,5.0
PRA8E5B,1,0.0,5.0
PRA8E4N,1,0.0,5.0
PRA8E59,1,0.0,5.0
PRA8E4P,1,0.0,5.0
PRA8E6X,1,0.0,5.0
PRA8E3V,1,0.0,5.0
PRA8E48,1,0.0,5.0
PRA8E6M,1,0.0,5.0
PRA8E33,1,0.0,5.0
PRA8E6K,1,0.0,5.0
PRA8E45,1,0.0,5.0
PRA8E5D,1,0.0,5.0
PRA8E6E,1,0.0,5.0
PRA8E6J,1,0.0,5.0
PRA8GAC,1,0.0,5.0
PRA8GAF,1,0.0,5.0
PRA8GAG,1,0.0,5.0
PRA8F98,1,0.0,13.0
PRA8E3X,1,0.0,5.0
PRA8E4A,1,0.0,5.0
PRA8GAD,1,0.0,5.0
PRA8F99,1,0.0,5.0
PRA8E6R,1,0.0,5.0
PRABANZT,1,0.0,4.0
PRAHVGT,1,0.0,4.0
PRAHVM9,1,0.0,4.0
PRAHVK4,1,0.0,4.0
PRAHVK5,1,0.0,4.0
PRABAKWN,1,0.0,1.0
PRABANP8,1,0.0,1.0
PRABANP8,2,0.0,1.0
PRABANP9,1,0.0,1.0
PRABANP9,2,0.0,1.0
PRABANQA,1,0.0,1.0
PRABANQA,2,0.0,1.0
PRABAKWP,1,0.0,1.0
PRABAKWP,2,0.0,1.0
PRABANQ4,1,0.0,1.0
PRABANQ4,2,0.0,1.0
PRABANQ4,3,0.0,1.0
PRABANQ4,4,0.0,1.0
PRABANRP,1,0.0,1.0
PRABANRP,2,0.0,1.0
PRABANRP,3,0.0,1.0
PRABANRP,4,0.0,1.0
PRABANSA,1,0.0,1.0
PRABANSA,2,0.0,1.0
PRABANSA,3,0.0,1.0
PRABANSA,4,0.0,1.0
PRABANSW,1,0.0,1.0
PRABANSW,2,0.0,1.0
PRABANSW,3,0.0,1.0
PRABANSW,4,0.0,1.0
PRABAPVR,1,0.0,1.0
PRABBX87,1,0.0,1.0
PRABBX87,2,0.0,1.0
PRABBX89,1,0.0,1.0
PRABBX89,2,0.0,1.0
PRABBX88,1,0.0,1.0
PRABBX88,2,0.0,1.0
PRABBX9A,1,0.0,1.0
PRABBX9A,2,0.0,1.0
PRABANZR,1,0.0,1.0
PRABAPVH,1,0.0,1.0
PRAHVJJ,1,0.0,4.0
PRAHVMF,1,0.0,4.0
PRAHVKT,1,0.0,4.0
PRAHVH9,1,0.0,4.0
PRAHVHT,1,0.0,4.0
PRAHVJE,1,0.0,4.0
PRAHVHR,1,0.0,4.0
PRAHVHC,1,0.0,4.0
PRAHVND,1,0.0,4.0
PRAHVHY,1,0.0,4.0
PRAHVHM,1,0.0,4.0
PRAHVKU,1,0.0,4.0
PRAHVJV,1,0.0,4.0
PRAHVKV,1,0.0,4.0
PRABANQW,1,0.0,8.0
PRABANQW,2,0.0,1.0
PRABANQW,3,0.0,8.0
